Variable	nnrti_Coefficient (95% CI)	nnrti_p-value	nnrti_spacer	nrti_Coefficient (95% CI)	nrti_p-value	nrti_spacer	pi_Coefficient (95% CI)	pi_p-value	pi_spacer	all_Coefficient (95% CI)	all_p-value
round 19 & Fishing community	1.55 (1.09, 2.2)	0.015		1.4 (0.98, 2)	0.068		1.3 (0.94, 1.8)	0.12		1.38 (0.89, 2.16)	0.15
round 16 & Trading community	1.04 (0.82, 1.31)	0.75		1.1 (0.87, 1.39)	0.44		1.12 (0.92, 1.36)	0.26		0.98 (0.71, 1.37)	0.92
round 17 & Trading community	1.04 (0.89, 1.22)	0.62		1.09 (0.93, 1.28)	0.3		1.05 (0.92, 1.19)	0.48		1.03 (0.81, 1.31)	0.81
round 18 & Trading community	1.06 (0.91, 1.24)	0.45		1.04 (0.89, 1.23)	0.6		1.03 (0.9, 1.17)	0.7		1.01 (0.79, 1.28)	0.96
round 19 & Trading community	0.97 (0.66, 1.43)	0.87		0.96 (0.65, 1.41)	0.84		0.92 (0.63, 1.35)	0.68		0.93 (0.6, 1.42)	0.72
round 16 & (24,34] years old	0.76 (0.61, 0.94)	0.011		0.77 (0.62, 0.95)	0.017		0.75 (0.62, 0.9)	0.0015		0.82 (0.59, 1.14)	0.24
round 17 & (24,34] years old	1.04 (0.9, 1.19)	0.61		0.95 (0.82, 1.1)	0.51		1 (0.9, 1.12)	0.95		1.08 (0.87, 1.35)	0.5
round 18 & (24,34] years old	0.95 (0.83, 1.1)	0.51		0.91 (0.79, 1.05)	0.19		0.93 (0.83, 1.04)	0.22		0.99 (0.79, 1.22)	0.9
round 19 & (24,34] years old	0.96 (0.67, 1.39)	0.83		0.99 (0.68, 1.44)	0.94		0.93 (0.66, 1.31)	0.67		1.07 (0.71, 1.62)	0.75
round 16 & (34,50] years old	0.73 (0.57, 0.93)	0.011		0.76 (0.6, 0.97)	0.028		0.71 (0.58, 0.87)	0.0011		0.82 (0.58, 1.18)	0.29
round 17 & (34,50] years old	1.06 (0.91, 1.25)	0.44		1 (0.85, 1.17)	1		1.03 (0.91, 1.16)	0.65		1.12 (0.88, 1.43)	0.36
round 18 & (34,50] years old	1.03 (0.88, 1.21)	0.74		0.94 (0.8, 1.11)	0.46		0.96 (0.84, 1.09)	0.5		1.02 (0.8, 1.3)	0.9
round 19 & (34,50] years old	1.04 (0.7, 1.55)	0.85		1.02 (0.67, 1.54)	0.93		0.97 (0.66, 1.4)	0.86		1.1 (0.7, 1.73)	0.68
round 16 & Male	0.76 (0.64, 0.92)	0.0037		0.77 (0.64, 0.92)	0.0041		0.82 (0.7, 0.95)	0.01		0.79 (0.61, 1.02)	0.076
round 17 & Male	0.87 (0.78, 0.96)	0.0093		0.86 (0.77, 0.97)	0.012		0.86 (0.79, 0.94)	0.00056		0.87 (0.73, 1.03)	0.11
round 18 & Male	0.89 (0.8, 1)	0.049		0.88 (0.78, 0.99)	0.029		0.89 (0.81, 0.98)	0.015		0.9 (0.75, 1.07)	0.22
round 19 & Male	0.81 (0.6, 1.08)	0.15		0.8 (0.59, 1.07)	0.13		0.83 (0.63, 1.09)	0.18		0.81 (0.59, 1.12)	0.21
